id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
239,2026-05-13 15:06:13.731099,1,MORLEY SOFT,GRIS MELANGE,22.5,
240,2026-05-13 15:06:13.731286,1,MORLEY SOFT,GRIS MELANGE,17.3,
241,2026-05-13 15:06:13.731538,1,MORLEY SOFT,GRIS MELANGE,22.6,
242,2026-05-13 15:06:13.731728,1,MORLEY SOFT,GRIS MELANGE,22.6,
243,2026-05-13 15:06:13.73191,1,MORLEY SOFT,GRIS MELANGE,22.6,
244,2026-05-13 15:06:13.732086,1,MORLEY SOFT,GRIS MELANGE,22.9,
245,2026-05-13 15:06:13.732281,1,MORLEY SOFT,GRIS MELANGE,22.2,
246,2026-05-13 15:06:13.73246,1,MORLEY SOFT,GRIS MELANGE,23,
247,2026-05-13 15:10:31.060391,1,MORLEY SOFT,OFF WHITE,23.1,
248,2026-05-13 15:10:31.060664,1,MORLEY SOFT,OFF WHITE,23.2,
249,2026-05-13 15:10:31.060863,1,MORLEY SOFT,OFF WHITE,22.7,
250,2026-05-13 15:10:31.061044,1,MORLEY SOFT,OFF WHITE,22.7,
251,2026-05-13 15:10:31.06122,1,MORLEY SOFT,OFF WHITE,22.8,
252,2026-05-13 15:10:31.061391,1,MORLEY SOFT,OFF WHITE,22.7,
253,2026-05-13 15:10:31.061565,1,MORLEY SOFT,OFF WHITE,23.1,
254,2026-05-13 15:10:31.061734,1,MORLEY SOFT,OFF WHITE,23,
255,2026-05-13 15:10:31.061915,1,MORLEY SOFT,OFF WHITE,22.7,
256,2026-05-13 15:10:31.062237,1,MORLEY SOFT,OFF WHITE,23,
257,2026-05-13 15:10:31.06247,1,MORLEY SOFT,OFF WHITE,23.2,
258,2026-05-13 15:10:31.062666,1,MORLEY SOFT,OFF WHITE,23,
259,2026-05-13 15:10:31.062848,1,MORLEY SOFT,OFF WHITE,23.1,
260,2026-05-13 15:10:31.063037,1,MORLEY SOFT,OFF WHITE,23,
261,2026-05-13 15:10:31.06325,1,MORLEY SOFT,OFF WHITE,23.1,
262,2026-05-13 15:10:31.063449,1,MORLEY SOFT,OFF WHITE,22.7,
263,2026-05-13 15:10:31.063724,1,MORLEY SOFT,OFF WHITE,23,
264,2026-05-13 15:10:31.064065,1,MORLEY SOFT,OFF WHITE,23.1,
265,2026-05-13 15:10:31.064309,1,MORLEY SOFT,OFF WHITE,23,
266,2026-05-13 15:10:31.064559,1,MORLEY SOFT,OFF WHITE,22.9,
267,2026-05-13 15:10:31.06475,1,MORLEY SOFT,OFF WHITE,20.9,
268,2026-05-13 15:10:31.064946,1,MORLEY SOFT,OFF WHITE,23,
269,2026-05-13 15:10:31.065135,1,MORLEY SOFT,OFF WHITE,22.3,
270,2026-05-13 15:10:31.065311,1,MORLEY SOFT,OFF WHITE,22.9,
271,2026-05-13 15:10:31.065486,1,MORLEY SOFT,OFF WHITE,22.9,
272,2026-05-13 15:10:31.065661,1,MORLEY SOFT,OFF WHITE,22.6,
273,2026-05-13 15:10:31.065839,1,MORLEY SOFT,OFF WHITE,23.4,
274,2026-05-13 15:10:31.066011,1,MORLEY SOFT,OFF WHITE,22.6,
275,2026-05-13 15:10:31.066187,1,MORLEY SOFT,OFF WHITE,20.9,
276,2026-05-13 15:10:31.066358,1,MORLEY SOFT,OFF WHITE,23,
277,2026-05-13 15:10:31.066528,1,MORLEY SOFT,OFF WHITE,22.8,
278,2026-05-13 15:11:52.42586,1,MORLEY SOFT,TOPO MELANGE,22.8,
279,2026-05-13 15:11:52.426259,1,MORLEY SOFT,TOPO MELANGE,22.9,
280,2026-05-13 15:11:52.426709,1,MORLEY SOFT,TOPO MELANGE,22.2,
281,2026-05-13 15:11:52.426956,1,MORLEY SOFT,TOPO MELANGE,22.6,
282,2026-05-13 15:11:52.427183,1,MORLEY SOFT,TOPO MELANGE,24,
283,2026-05-13 15:11:52.427391,1,MORLEY SOFT,TOPO MELANGE,19.6,
284,2026-05-13 15:11:52.427589,1,MORLEY SOFT,TOPO MELANGE,23.1,
285,2026-05-13 15:11:52.427789,1,MORLEY SOFT,TOPO MELANGE,22.6,
286,2026-05-13 15:11:52.427987,1,MORLEY SOFT,TOPO MELANGE,23,
287,2026-05-13 15:14:16.857904,1,MORLEY SOFT,UVA,21.5,
288,2026-05-13 15:14:16.858168,1,MORLEY SOFT,UVA,23,
289,2026-05-13 15:14:16.858353,1,MORLEY SOFT,UVA,22.6,
290,2026-05-13 15:14:16.858525,1,MORLEY SOFT,UVA,23,
291,2026-05-13 15:14:16.858696,1,MORLEY SOFT,UVA,23,
292,2026-05-13 15:14:16.858862,1,MORLEY SOFT,UVA,21.8,
293,2026-05-13 15:14:16.859032,1,MORLEY SOFT,UVA,23,
294,2026-05-13 15:14:16.859196,1,MORLEY SOFT,UVA,22.7,
295,2026-05-13 15:14:16.85937,1,MORLEY SOFT,UVA,23.4,
296,2026-05-13 15:14:16.859535,1,MORLEY SOFT,UVA,23.2,
297,2026-05-13 15:14:16.859746,1,MORLEY SOFT,UVA,22.6,
298,2026-05-13 15:14:16.860107,1,MORLEY SOFT,UVA,23.1,
299,2026-05-13 15:14:16.860324,1,MORLEY SOFT,UVA,23.2,
300,2026-05-13 15:14:16.860516,1,MORLEY SOFT,UVA,23.2,
301,2026-05-13 15:14:16.860703,1,MORLEY SOFT,UVA,23.2,
302,2026-05-13 15:14:16.860882,1,MORLEY SOFT,UVA,23.4,
303,2026-05-13 15:15:46.706905,1,MORLEY SOFT,VISON,22.2,
304,2026-05-13 15:15:46.707228,1,MORLEY SOFT,VISON,23.3,
305,2026-05-13 15:15:46.707442,1,MORLEY SOFT,VISON,23.4,
306,2026-05-13 15:15:46.707631,1,MORLEY SOFT,VISON,23.1,
307,2026-05-13 15:15:46.70782,1,MORLEY SOFT,VISON,23.2,
308,2026-05-13 15:15:46.708005,1,MORLEY SOFT,VISON,23.2,
309,2026-05-13 15:15:46.708337,1,MORLEY SOFT,VISON,22.8,
310,2026-05-13 15:15:46.708617,1,MORLEY SOFT,VISON,23.1,
311,2026-05-13 15:15:46.708831,1,MORLEY SOFT,VISON,21.9,
312,2026-05-13 15:15:46.709025,1,MORLEY SOFT,VISON,23,
313,2026-05-13 17:33:09.251742,2,FRISA PREMIUM,OFF WHITE,21.46,
314,2026-05-13 17:34:05.652719,2,FRISA PREMIUM,BEIGE,19.73,
315,2026-05-13 17:34:05.653049,2,FRISA PREMIUM,BEIGE,20.52,
316,2026-05-13 17:34:05.653237,2,FRISA PREMIUM,BEIGE,21.19,
317,2026-05-13 17:34:05.653406,2,FRISA PREMIUM,BEIGE,20.18,
318,2026-05-13 17:34:05.653561,2,FRISA PREMIUM,BEIGE,21.06,
319,2026-05-13 17:34:05.653835,2,FRISA PREMIUM,BEIGE,20.63,
320,2026-05-13 17:34:05.654021,2,FRISA PREMIUM,BEIGE,21.03,
321,2026-05-13 17:34:05.654182,2,FRISA PREMIUM,BEIGE,20.26,
322,2026-05-13 17:35:04.535237,2,FRISA PREMIUM,NEGRO,20.18,
323,2026-05-13 17:35:04.53553,2,FRISA PREMIUM,NEGRO,20.82,
324,2026-05-13 17:35:04.535738,2,FRISA PREMIUM,NEGRO,21,
325,2026-05-13 17:35:04.535916,2,FRISA PREMIUM,NEGRO,21.49,
326,2026-05-13 17:35:04.536216,2,FRISA PREMIUM,NEGRO,21.14,
327,2026-05-13 17:35:04.536494,2,FRISA PREMIUM,NEGRO,20.88,
328,2026-05-13 17:35:04.536723,2,FRISA PREMIUM,NEGRO,21.21,
329,2026-05-13 17:35:04.53691,2,FRISA PREMIUM,NEGRO,20.56,
330,2026-05-13 17:35:04.537095,2,FRISA PREMIUM,NEGRO,20.83,
331,2026-05-13 17:35:04.537272,2,FRISA PREMIUM,NEGRO,21.27,
332,2026-05-13 17:35:04.537447,2,FRISA PREMIUM,NEGRO,20.85,
333,2026-05-13 17:35:04.537626,2,FRISA PREMIUM,NEGRO,20.75,
334,2026-05-13 17:35:04.537808,2,FRISA PREMIUM,NEGRO,20.85,
335,2026-05-13 17:35:04.537977,2,FRISA PREMIUM,NEGRO,13.72,
336,2026-05-13 17:38:07.484718,2,FRISA PREMIUM,NEGRO,21.97,
337,2026-05-13 17:39:00.78867,3,JERSEY PEINADO,GRIS MELANGE,21.99,
338,2026-05-13 17:39:00.789312,3,JERSEY PEINADO,GRIS MELANGE,21.97,
339,2026-05-13 17:39:00.789588,3,JERSEY PEINADO,GRIS MELANGE,21.47,
340,2026-05-13 17:39:00.789799,3,JERSEY PEINADO,GRIS MELANGE,21.96,
341,2026-05-13 17:39:00.789988,3,JERSEY PEINADO,GRIS MELANGE,21.83,
342,2026-05-13 17:39:00.790168,3,JERSEY PEINADO,GRIS MELANGE,20.46,
343,2026-05-13 17:39:00.79036,3,JERSEY PEINADO,GRIS MELANGE,21.86,
344,2026-05-13 17:39:00.790542,3,JERSEY PEINADO,GRIS MELANGE,22.1,
345,2026-05-13 17:39:00.790949,3,JERSEY PEINADO,GRIS MELANGE,21.91,
346,2026-05-13 17:39:00.79119,3,JERSEY PEINADO,GRIS MELANGE,20.46,
347,2026-05-13 17:39:13.950017,3,JERSEY PEINADO,UVA,20.9,
348,2026-05-13 17:39:26.819744,3,JERSEY PEINADO,OFF WHITE,20.75,
349,2026-05-13 17:39:37.118548,3,JERSEY PEINADO,NEGRO,21.85,
350,2026-05-13 17:39:37.118835,3,JERSEY PEINADO,NEGRO,22.32,
351,2026-05-13 17:39:49.848544,3,JERSEY PEINADO,OFF WHITE,21.29,
352,2026-05-13 17:40:08.215975,3,JERSEY PEINADO,COCOA,22.04,
353,2026-05-13 17:40:08.216226,3,JERSEY PEINADO,COCOA,22.02,
354,2026-05-13 17:40:08.216405,3,JERSEY PEINADO,COCOA,21.76,
355,2026-05-13 17:40:08.216575,3,JERSEY PEINADO,COCOA,22.03,
356,2026-05-13 19:08:47.306371,3,JERSEY PEINADO,UVA,22.79,
357,2026-05-13 19:08:47.306701,3,JERSEY PEINADO,UVA,22.01,
358,2026-05-13 19:08:47.306948,3,JERSEY PEINADO,UVA,21.74,
359,2026-05-13 19:08:47.307154,3,JERSEY PEINADO,UVA,21.8,
360,2026-05-13 19:08:47.307343,3,JERSEY PEINADO,UVA,22.06,
361,2026-05-13 19:08:47.307523,3,JERSEY PEINADO,UVA,22.07,
362,2026-05-13 19:10:25.654944,4,WAFFLE RAYADO,NEGRO,24.06,
363,2026-05-13 19:10:25.655259,4,WAFFLE RAYADO,NEGRO,24.61,
364,2026-05-13 19:10:25.655464,4,WAFFLE RAYADO,NEGRO,24.6,
365,2026-05-13 19:10:39.906006,4,WAFFLE RAYADO,BLANCO,24.6,
366,2026-05-13 19:10:39.90629,4,WAFFLE RAYADO,BLANCO,24.7,
367,2026-05-13 19:10:39.906502,4,WAFFLE RAYADO,BLANCO,23.5,
368,2026-05-13 19:10:48.23456,4,WAFFLE RAYADO,BEIGE,24,
369,2026-05-13 19:10:48.234836,4,WAFFLE RAYADO,BEIGE,23.8,
370,2026-05-13 19:11:02.791564,4,WAFFLE RAYADO,CAMEL,24,
371,2026-05-13 19:11:02.791887,4,WAFFLE RAYADO,CAMEL,23.8,
372,2026-05-13 19:11:02.792118,4,WAFFLE RAYADO,CAMEL,23.6,
373,2026-05-13 19:11:17.304695,4,WAFFLE RAYADO,CHOCOLATE,24,
374,2026-05-13 19:11:17.305032,4,WAFFLE RAYADO,CHOCOLATE,22.9,
375,2026-05-13 19:11:17.305251,4,WAFFLE RAYADO,CHOCOLATE,24.4,
376,2026-05-13 19:11:17.305443,4,WAFFLE RAYADO,CHOCOLATE,24.2,
377,2026-05-13 19:24:01.539337,3,JERSEY PEINADO,COCOA,21.97,
378,2026-05-13 19:24:01.539701,3,JERSEY PEINADO,COCOA,22.03,
379,2026-05-13 19:24:01.539933,3,JERSEY PEINADO,COCOA,21.84,
380,2026-05-13 19:24:01.540144,3,JERSEY PEINADO,COCOA,21.8,
381,2026-05-13 19:24:01.540335,3,JERSEY PEINADO,COCOA,21.86,
382,2026-05-13 19:24:01.540525,3,JERSEY PEINADO,COCOA,21.75,
383,2026-05-13 19:24:01.540712,3,JERSEY PEINADO,COCOA,21.61,
384,2026-05-13 19:24:20.234606,3,JERSEY PEINADO,MALVA,20.5,
385,2026-05-13 19:24:30.147545,3,JERSEY PEINADO,CHOCOLATE,20.5,
386,2026-05-13 19:24:48.514748,3,JERSEY PEINADO,OFF WHITE,21.44,
387,2026-05-13 19:24:48.515008,3,JERSEY PEINADO,OFF WHITE,21.54,
388,2026-05-13 19:24:48.515195,3,JERSEY PEINADO,OFF WHITE,12.5,
389,2026-05-13 19:25:09.4886,3,JERSEY PEINADO,AZUL DEMIN,21.86,
390,2026-05-13 19:25:09.488883,3,JERSEY PEINADO,AZUL DEMIN,21.83,
391,2026-05-13 19:26:02.653675,3,JERSEY PEINADO,UVA,21.32,
392,2026-05-13 19:26:02.653951,3,JERSEY PEINADO,UVA,22.1,
393,2026-05-13 19:26:02.654137,3,JERSEY PEINADO,UVA,22.39,
394,2026-05-13 19:26:02.654325,3,JERSEY PEINADO,UVA,22.64,
395,2026-05-13 19:26:02.654496,3,JERSEY PEINADO,UVA,22.2,
396,2026-05-13 19:26:02.654666,3,JERSEY PEINADO,UVA,22.3,
397,2026-05-13 19:26:48.188501,3,JERSEY PEINADO,AZUL DEMIN,21.54,
398,2026-05-13 19:26:48.188802,3,JERSEY PEINADO,AZUL DEMIN,21.87,
399,2026-05-13 19:26:48.189021,3,JERSEY PEINADO,AZUL DEMIN,20.5,
400,2026-05-13 19:26:48.189214,3,JERSEY PEINADO,AZUL DEMIN,21.88,
401,2026-05-13 19:26:48.189635,3,JERSEY PEINADO,AZUL DEMIN,21.96,
402,2026-05-13 19:26:48.189898,3,JERSEY PEINADO,AZUL DEMIN,21.87,
403,2026-05-13 19:26:48.190105,3,JERSEY PEINADO,AZUL DEMIN,21.86,
404,2026-05-13 19:26:48.190302,3,JERSEY PEINADO,AZUL DEMIN,20.04,
405,2026-05-13 19:28:07.366287,3,JERSEY PEINADO,CELESTE,22.84,
406,2026-05-13 19:28:07.366575,3,JERSEY PEINADO,CELESTE,21.84,
407,2026-05-13 19:28:07.366776,3,JERSEY PEINADO,CELESTE,21.82,
408,2026-05-13 19:28:07.366956,3,JERSEY PEINADO,CELESTE,21.64,
409,2026-05-13 19:28:39.067102,3,JERSEY PEINADO,BEIGE,25.74,
410,2026-05-13 19:28:39.067408,3,JERSEY PEINADO,BEIGE,18.71,
411,2026-05-13 19:28:39.067629,3,JERSEY PEINADO,BEIGE,21.43,
412,2026-05-13 19:28:39.06784,3,JERSEY PEINADO,BEIGE,21.12,
413,2026-05-13 19:28:39.068033,3,JERSEY PEINADO,BEIGE,21.39,
414,2026-05-13 19:28:39.068221,3,JERSEY PEINADO,BEIGE,21.44,
415,2026-05-13 19:28:39.068397,3,JERSEY PEINADO,BEIGE,21.47,
416,2026-05-13 19:28:39.068577,3,JERSEY PEINADO,BEIGE,21.84,
417,2026-05-13 19:28:39.068922,3,JERSEY PEINADO,BEIGE,21.4,
418,2026-05-13 19:30:15.16994,3,JERSEY PEINADO,OFF WHITE,21.45,
419,2026-05-13 19:30:15.170217,3,JERSEY PEINADO,OFF WHITE,21.43,
420,2026-05-13 19:30:15.170421,3,JERSEY PEINADO,OFF WHITE,21.42,
421,2026-05-13 19:30:15.170607,3,JERSEY PEINADO,OFF WHITE,17.2,
